,Status of existing checking account,Duration,Credit history,Purpose_business,Purpose_car (new),Purpose_car (used),Purpose_domestic appliances,Purpose_education,Purpose_furniture/equipment,Purpose_others,Purpose_radio/television,Purpose_repairs,Purpose_retraining,Credit amount,Savings account/bonds,Present employment since,Installment rate in percentage of disposable income,Sex,Other debtors_co-applicant,Other debtors_guarantor,Other debtors_none,Present residence since,Age,Housing,Number of existing credits at this bank,Job,Number of people being liable to provide maintenance for,Telephone,foreign worker
123,3,10,0,0,1,0,0,0,0,0,0,0,0,781,1,4,4,0,0,0,1,4,63,2,2,2,1,1,1
124,2,18,3,0,0,0,0,0,1,0,0,0,0,1924,0,1,4,1,0,0,1,3,27,0,1,2,1,0,1
125,1,12,0,0,1,0,0,0,0,0,0,0,0,2121,1,2,4,0,0,0,1,2,30,1,2,2,1,0,1
126,1,12,3,0,0,0,0,0,0,0,1,0,0,701,1,2,4,0,0,0,1,2,40,1,1,1,1,0,1
127,2,12,3,0,0,0,0,0,0,0,0,1,0,639,1,2,4,0,0,0,1,2,30,1,1,2,1,0,1
128,2,12,0,0,0,1,0,0,0,0,0,0,0,1860,1,0,4,0,0,0,1,2,34,1,2,3,1,1,1
129,1,12,0,0,1,0,0,0,0,0,0,0,0,3499,1,2,3,1,1,0,0,2,29,1,2,2,1,0,1
130,2,48,3,0,1,0,0,0,0,0,0,0,0,8487,0,3,1,1,0,0,1,2,24,1,1,2,1,0,1
131,1,36,1,0,0,0,0,1,0,0,0,0,0,6887,1,2,4,0,0,0,1,3,29,1,1,2,1,1,1
132,0,15,3,0,0,0,0,0,1,0,0,0,0,2708,1,1,2,0,0,0,1,3,27,1,2,1,1,0,1
133,0,18,3,0,0,0,0,0,1,0,0,0,0,1984,1,2,4,0,0,0,1,4,47,2,2,2,1,0,1
134,0,60,3,0,0,0,0,0,0,0,1,0,0,10144,2,3,2,1,0,0,1,4,21,1,1,2,1,1,1
135,0,12,0,0,0,0,0,0,0,0,1,0,0,1240,0,4,4,1,0,0,1,2,38,1,2,2,1,1,1
136,0,27,1,0,0,1,0,0,0,0,0,0,0,8613,4,2,2,0,0,0,1,2,27,1,2,2,1,0,1
137,2,12,3,0,0,0,0,0,0,0,1,0,0,766,3,2,4,0,0,0,1,3,66,1,1,1,1,0,1
138,2,15,0,0,0,0,0,0,0,0,1,0,0,2728,0,3,4,0,0,1,0,2,35,1,3,2,1,1,1
139,3,12,3,0,0,0,0,0,0,0,1,0,0,1881,1,2,2,1,0,0,1,2,44,0,1,1,1,1,1
140,3,6,3,0,1,0,0,0,0,0,0,0,0,709,4,1,2,0,0,0,1,2,27,1,1,0,1,0,0
141,2,36,3,0,0,0,0,0,0,0,1,0,0,4795,1,1,4,1,0,0,1,1,30,1,1,3,1,1,1
142,1,27,3,0,0,0,0,0,0,0,1,0,0,3416,1,2,3,0,0,0,1,2,27,1,1,3,1,0,1
143,1,18,3,0,0,0,0,0,1,0,0,0,0,2462,1,2,2,0,0,0,1,2,22,1,1,2,1,0,1
144,0,21,0,0,0,0,0,0,1,0,0,0,0,2288,1,1,4,1,0,0,1,4,23,1,1,2,1,1,1
145,2,48,4,1,0,0,0,0,0,0,0,0,0,3566,2,3,4,0,0,0,1,2,30,1,1,2,1,0,1
146,1,6,0,0,1,0,0,0,0,0,0,0,0,860,1,4,1,1,0,0,1,4,39,1,2,2,1,1,1
147,0,12,0,0,1,0,0,0,0,0,0,0,0,682,2,3,4,1,0,0,1,3,51,1,2,2,1,1,1
148,1,36,0,0,0,0,0,0,1,0,0,0,0,5371,1,2,3,0,0,1,0,2,28,1,2,2,1,0,1
149,0,18,0,0,0,0,0,0,0,0,1,0,0,1582,4,4,4,0,0,0,1,4,46,1,2,2,1,0,1
150,0,6,3,0,0,0,0,0,0,0,1,0,0,1346,2,4,2,0,0,0,1,4,42,2,1,2,2,1,1
151,0,10,3,0,0,0,0,0,0,0,1,0,0,1924,1,2,1,0,0,0,1,4,38,1,1,2,1,1,0
152,3,36,3,0,0,0,0,0,0,0,1,0,0,5848,1,2,4,0,0,0,1,1,24,1,1,2,1,0,1
153,2,24,0,0,0,1,0,0,0,0,0,0,0,7758,4,4,2,1,0,0,1,4,29,0,1,2,1,0,1
154,2,24,1,1,0,0,0,0,0,0,0,0,0,6967,2,3,4,0,0,0,1,4,36,0,1,3,1,1,1
155,1,12,3,0,0,0,0,0,1,0,0,0,0,1282,1,2,2,1,0,0,1,4,20,0,1,2,1,0,1
156,1,9,0,0,0,0,0,0,0,0,0,1,0,1288,2,4,3,0,0,1,0,4,48,1,2,2,2,0,0
157,1,12,4,0,0,0,0,0,0,0,0,0,1,339,1,4,4,0,0,0,1,1,45,1,1,1,1,0,1
158,2,24,3,0,1,0,0,0,0,0,0,0,0,3512,2,3,2,0,0,0,1,3,38,1,2,2,1,1,1
159,0,6,0,0,0,0,0,0,0,0,1,0,0,1898,0,2,1,0,0,0,1,2,34,1,2,1,2,0,1
160,0,24,0,0,0,0,0,0,0,0,1,0,0,2872,2,4,3,0,0,0,1,4,36,1,1,2,2,1,1
161,0,18,0,0,1,0,0,0,0,0,0,0,0,1055,1,1,4,1,0,0,1,1,30,1,2,2,1,0,1
162,0,15,3,0,0,0,1,0,0,0,0,0,0,1262,3,3,4,0,0,0,1,3,36,1,2,2,1,1,1
163,2,10,3,0,1,0,0,0,0,0,0,0,0,7308,1,0,2,0,0,0,1,4,70,2,1,3,1,1,1
164,0,36,3,0,1,0,0,0,0,0,0,0,0,909,3,4,4,0,0,0,1,4,36,1,1,2,1,0,1
165,0,6,3,0,0,0,0,0,1,0,0,0,0,2978,3,2,1,0,0,0,1,2,32,1,1,2,1,1,1
166,1,18,3,0,0,0,0,0,1,0,0,0,0,1131,1,0,4,1,0,0,1,2,33,1,1,2,1,0,1
167,2,11,3,0,0,0,0,0,1,0,0,0,0,1577,4,1,4,1,0,0,1,1,20,1,1,2,1,0,1
168,0,24,3,0,0,0,0,0,1,0,0,0,0,3972,1,3,2,1,0,0,1,4,25,0,1,2,1,1,1
169,2,24,0,1,0,0,0,0,0,0,0,0,0,1935,1,4,4,0,0,0,1,4,31,1,2,2,1,1,1
170,1,15,2,0,1,0,0,0,0,0,0,0,0,950,1,4,4,0,0,0,1,3,33,0,2,2,2,0,1
171,0,12,3,0,0,0,0,0,1,0,0,0,0,763,1,2,4,1,0,0,1,1,26,1,1,2,1,1,1
172,2,24,1,0,0,0,0,0,1,0,0,0,0,2064,1,0,3,1,0,0,1,2,34,1,1,3,1,1,1
173,2,8,3,0,0,0,0,0,0,0,1,0,0,1414,1,2,4,0,0,1,0,2,33,1,1,2,1,0,0
174,1,21,1,0,0,0,0,1,0,0,0,0,0,3414,1,1,2,0,0,0,1,1,26,1,2,2,1,0,1
175,0,30,4,0,0,1,0,0,0,0,0,0,0,7485,0,0,4,1,0,0,1,1,53,1,1,3,1,1,1
176,1,12,3,0,0,0,0,0,1,0,0,0,0,2577,1,2,2,0,0,0,1,1,42,1,1,2,1,0,1
177,1,6,0,0,0,0,0,0,0,0,1,0,0,338,3,4,4,0,0,0,1,4,52,1,2,2,1,0,1
178,0,12,3,0,0,0,0,0,0,0,1,0,0,1963,1,3,4,0,0,0,1,2,31,0,2,3,2,1,1
179,1,21,0,0,1,0,0,0,0,0,0,0,0,571,1,4,4,0,0,0,1,4,65,1,2,2,1,0,1
180,0,36,1,1,0,0,0,0,0,0,0,0,0,9572,1,1,1,0,0,0,1,1,28,1,2,2,1,0,1
181,2,36,1,1,0,0,0,0,0,0,0,0,0,4455,1,2,2,0,0,0,1,2,30,1,2,3,1,1,1
182,1,21,4,0,1,0,0,0,0,0,0,0,0,1647,0,2,4,0,0,0,1,2,40,1,2,1,2,0,1
183,0,24,0,0,0,0,0,0,1,0,0,0,0,3777,4,2,4,0,0,0,1,4,50,1,1,2,1,1,1
184,2,18,0,0,1,0,0,0,0,0,0,0,0,884,1,4,4,0,0,0,1,4,36,1,1,2,2,1,1
185,0,15,0,0,0,0,0,0,0,0,1,0,0,1360,1,2,4,0,0,0,1,2,31,1,2,2,1,0,1
186,2,9,4,0,0,1,0,0,0,0,0,0,0,5129,1,4,2,1,0,0,1,4,74,2,1,3,2,1,1
187,2,16,0,0,1,0,0,0,0,0,0,0,0,1175,1,0,2,0,0,0,1,3,68,2,3,0,1,1,1
188,1,12,3,0,0,0,0,0,0,0,1,0,0,674,2,3,4,0,0,0,1,1,20,1,1,2,1,0,1
189,2,18,2,0,0,0,0,0,1,0,0,0,0,3244,1,2,1,1,0,0,1,4,33,1,2,2,1,1,1
190,0,24,3,1,0,0,0,0,0,0,0,0,0,4591,4,2,2,0,0,0,1,3,54,1,3,3,1,1,1
191,2,48,2,1,0,0,0,0,0,0,0,0,0,3844,2,3,4,0,0,0,1,4,34,2,1,1,2,0,1
192,2,27,3,1,0,0,0,0,0,0,0,0,0,3915,1,2,4,0,0,0,1,2,36,1,1,2,2,1,1
193,0,6,3,0,0,0,0,0,0,0,1,0,0,2108,1,3,2,0,0,0,1,2,29,0,1,2,1,0,1
194,2,45,3,0,0,0,0,0,0,0,1,0,0,3031,2,2,4,0,0,1,0,4,21,0,1,2,1,0,1
195,2,9,0,0,0,0,0,1,0,0,0,0,0,1501,1,4,2,1,0,0,1,3,34,1,2,3,1,1,1
196,0,6,0,0,0,0,0,0,0,0,1,0,0,1382,1,2,1,1,0,0,1,1,28,1,2,2,1,1,1
197,2,12,3,0,0,0,0,0,1,0,0,0,0,951,2,1,4,1,0,0,1,4,27,0,4,2,1,0,1
198,2,24,3,0,0,1,0,0,0,0,0,0,0,2760,0,4,4,0,0,0,1,4,36,2,1,2,1,1,1
199,2,18,1,0,0,0,0,0,1,0,0,0,0,4297,1,4,4,0,0,0,1,3,40,1,1,3,1,1,1
200,0,9,0,0,0,0,0,1,0,0,0,0,0,936,3,4,4,0,0,0,1,2,52,1,2,2,1,1,1
201,1,12,3,0,1,0,0,0,0,0,0,0,0,1168,1,2,4,0,0,0,1,3,27,1,1,1,1,0,1
202,0,27,1,1,0,0,0,0,0,0,0,0,0,5117,1,3,3,0,0,0,1,4,26,1,2,2,1,0,1
203,1,12,3,0,0,0,0,0,0,0,0,0,1,902,1,3,4,0,0,0,1,4,21,0,1,2,1,0,1
204,0,12,0,0,1,0,0,0,0,0,0,0,0,1495,1,4,4,0,0,0,1,1,38,1,2,1,2,0,1
205,1,30,0,0,0,1,0,0,0,0,0,0,0,10623,1,4,3,0,0,0,1,4,38,2,3,3,2,1,1
206,0,12,0,0,0,0,0,0,1,0,0,0,0,1935,1,4,4,0,0,0,1,4,43,1,3,2,1,1,1
207,2,12,0,0,0,0,1,0,0,0,0,0,0,1424,1,3,4,0,0,0,1,3,26,1,1,2,1,0,1
208,1,24,3,1,0,0,0,0,0,0,0,0,0,6568,1,2,2,0,0,0,1,2,21,1,1,1,1,0,1
209,0,12,3,0,0,1,0,0,0,0,0,0,0,1413,4,3,3,0,0,0,1,2,55,1,1,2,1,0,0
210,0,9,0,0,0,0,0,0,0,0,1,0,0,3074,0,2,1,0,0,0,1,2,33,1,2,2,2,0,1
211,0,36,3,0,0,0,0,0,0,0,1,0,0,3835,0,4,2,1,0,0,1,4,45,1,1,1,1,1,1
212,1,27,2,1,0,0,0,0,0,0,0,0,0,5293,1,0,2,0,0,0,1,4,50,1,2,2,1,1,1
213,3,30,1,1,0,0,0,0,0,0,0,0,0,1908,1,4,4,0,0,0,1,4,66,1,1,3,1,1,1
214,0,36,0,0,0,0,0,0,0,0,1,0,0,3342,0,4,4,0,0,0,1,2,51,1,1,2,1,1,1
215,2,6,0,0,0,0,0,0,0,0,0,0,1,932,0,3,1,1,0,0,1,3,39,1,2,1,1,0,1
216,1,18,2,1,0,0,0,0,0,0,0,0,0,3104,1,3,3,0,0,0,1,1,31,1,1,2,1,1,1
217,3,36,3,0,0,0,0,0,0,0,1,0,0,3913,1,2,2,0,0,0,1,2,23,1,1,2,1,1,1
218,1,24,3,0,0,0,0,0,1,0,0,0,0,3021,1,2,2,0,0,0,1,2,24,0,1,1,1,0,1
219,0,10,3,0,1,0,0,0,0,0,0,0,0,1364,1,2,2,1,0,0,1,4,64,1,1,2,1,1,1
220,2,12,3,0,0,0,0,0,0,0,1,0,0,625,1,1,4,0,0,1,0,1,26,1,1,1,1,0,1
221,1,12,3,0,0,0,0,1,0,0,0,0,0,1200,0,2,4,1,0,0,1,4,23,0,1,2,1,1,1
